Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_Murata_PKMCS0909E,1,Buzzer,
"C1, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C38, C46, C50, C51, C52, C54, C55, C58, C61, C66, C67, C68, C69, C75, C76",0402,40,0.1u,
C10,1206,1,100u,
"C2, C8, C9",1206,3,47u,
"C3, C7",1206,2,10u,
"C36, C37, C40, C45, C49, C56, C64",0402,7,1u,
C39,0402,1,4.7u,
"C4, C6",1206,2,0.1u,
"C41, C42, C43, C44, C57, C60",0402,6,2.2u,
"C47, C48",0402,2,??,
C5,0402,1,33n,
"C53, C63, C70, C71, C72, C73, C74, C77",0402,8,10u,
"C59, C62, C65",0402,3,10n,
"D1, D2, D3, D4, D5, D6, D7",0603,7,LED_G,
D8,0603,1,LED_R,
FB1,0402,1,???,
"J1, J12, J13, J3",Molex_Micro-Latch_53253-0370_1x03_P2.00mm_Vertical,4,Conn_01x03_Pin,
"J10, J4, J5, J6, J8",Molex_Micro-Latch_53253-0470_1x04_P2.00mm_Vertical,5,Conn_01x04_Pin,
"J11, J7",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,2,USB_C_Receptacle_USB2.0_14P,
J16,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Screw_Terminal_01x02,
J9,microSD_HC_Hirose_DM3D-SF,1,Micro_SD_Card,
L1,L_Coilcraft_XAL7070-XXX,1,5.6u,
"R1, R11, R2, R3, R4, R5, R6",0402,7,R_Small,
"R10, R9",0402,2,1k,
R12,0402,1,100,
R13,0402,1,30.9k,
R14,0402,1,10k,
R15,0402,1,68k,
"R18, R19",0402,2,120,
"R20, R22, R23",0402,3,20k,
R21,0402,1,47k,
"R24, R25, R7, R8",0402,4,5.1k,
"SW1, SW2",SW_CK_JS202011CQN_DPDT_Straight,2,SW_SPDT,
SW3,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W7.62mm_P2.54mm_LowProfile,1,SW_DIP_x04,
SW4,SW_SPST_PTS810,1,SW_Button,
U1,PinSocket_2x10_P2.54mm_Vertical,1,~,
U10,SCH16T,1,~,
"U11, U12, U13, U14, U6",SOIC-8_5.3x5.3mm_P1.27mm,5,W25Q128JVS,
"U15, U16",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP2558FD,
U18,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-Axx-xQFN24,
U2,SOT-583-8,1,TPS2117DRL,
U3,SOT-583-8,1,TPS62933,
U4,LQFP-208_28x28mm_P0.5mm,1,STM32H757BITx,
U5,TSOP-II-54_22.2x10.16mm_P0.8mm,1,~,
"U7, U9",LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,2,~,
U8,LGA-16_3x3mm_P0.5mm,1,MMC5983MA,
Y1,Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm,1,32.768KHZ,
Y2,Oscillator_SMD_Abracon_ASCO-4Pin_1.6x1.2mm,1,ASCO,
Y3,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,ASE-xxxMHz,
